Period_Type,Month,Agency,Job_Title_Series,Open_To_Public,Total_Listings
Pre-Trump Baseline,2024-04,Congressional Budget Office,Assistant Editor (Series: 1083),Yes,1
Pre-Trump Baseline,2024-04,Congressional Budget Office,Editor (Series: 1082),Yes,1
Pre-Trump Baseline,2024-04,Administrative Office of the U.S. Courts,Program Analyst (Series: 0343),Yes,1
Pre-Trump Baseline,2024-04,Indian Health Service,Dentist (Pediatrics) (Series: 0680),No,1
Pre-Trump Baseline,2024-04,Centers for Disease Control and Prevention,Senior Advisor to the Office of Financial Resources (Series: 0501),No,1
Pre-Trump Baseline,2024-04,Indian Health Service,Nurse (Care Manager) (Series: 0610),No,1
Pre-Trump Baseline,2024-04,Indian Health Service,Nurse (Care Manager) (Series: 0610),Yes,1
Pre-Trump Baseline,2024-04,"Commander, Navy Installations Command",FIREFIGHTER (Series: 0081),Yes,1
Pre-Trump Baseline,2024-04,Indian Health Service,Supervisory Human Resources Specialist (Series: 0201),No,1
Pre-Trump Baseline,2024-04,Indian Health Service,Supervisory Nurse (Inpatient) (Series: 0610),No,1
Pre-Trump Baseline,2024-04,Naval Facilities Engineering Systems Command,INTERDISCIPLINARY ENGINEER OR ARCHITECT (PROJECT MANAGER) (Series: 0808),Yes,1
Pre-Trump Baseline,2024-04,Indian Health Service,Optometrist (Series: 0662),Yes,2
Pre-Trump Baseline,2024-04,Indian Health Service,Optometrist (Series: 0662),No,2
Pre-Trump Baseline,2024-04,Centers for Disease Control and Prevention,Chief Financial Officer (Series: 0505),No,1
Pre-Trump Baseline,2024-04,Indian Health Service,Medical Support Assistant (Nursing Scheduler) (Series: 0679),No,1
Pre-Trump Baseline,2024-04,U.S. Census Bureau,Field Representative (Bilingual) (Series: 0303),Yes,1
Pre-Trump Baseline,2024-04,U.S. Census Bureau,Field Representative (AL/FL/GA/LA/MS/NC/SC) (Series: 0303),Yes,1
Pre-Trump Baseline,2024-04,U.S. Census Bureau,Field Representative (AR/IL/IA/IN/MI/MN/MO/WI) (Series: 0303),Yes,1
Pre-Trump Baseline,2024-04,U.S. Census Bureau,Field Representative (AZ/CO/KS/MT/ND/NE/NM/OK/SD/TX/UT/WY) (Series: 0303),Yes,1
Pre-Trump Baseline,2024-04,U.S. Census Bureau,Field Representative (AK/CA/HI/ID/NV/OR/WA) (Series: 0303),Yes,1
Pre-Trump Baseline,2024-04,U.S. Census Bureau,Field Representative (CT/MA/ME/NH/NJ/NY/RI/VT/PR) (Series: 0303),Yes,1
Pre-Trump Baseline,2024-04,U.S. Census Bureau,Field Representative (DC/DE/KY/MD/OH/PA/TN/VA/WV) (Series: 0303),Yes,1
Pre-Trump Baseline,2024-04,Naval Facilities Engineering Systems Command,CIVIL ENGINEER (Series: 0810),Yes,2
Pre-Trump Baseline,2024-04,Indian Health Service,Podiatrist (Series: 0668),Yes,1
Pre-Trump Baseline,2024-04,Indian Health Service,Podiatrist (Series: 0668),No,1
Pre-Trump Baseline,2024-04,Federal Aviation Administration,Supervisory Aviation Safety Inspector - All Specialties (Series: 1825),No,1
Pre-Trump Baseline,2024-04,"Interior, Bureau of Indian Affairs",Corrections Officer (Series: 0007),No,1
Pre-Trump Baseline,2024-04,Army National Guard Units,TITLE 32 FUEL DISTRIBUTION SYSTEMS WORKER WG-5413-09 (Series: 5413),Yes,1
Pre-Trump Baseline,2024-04,"Interior, Bureau of Indian Affairs",Law Enforcement Officer (School Resource Officer) (Series: 1801),No,1
Pre-Trump Baseline,2024-04,"Interior, Bureau of Indian Affairs",Program Coordinator (Victim Assistance) (Series: 0301),No,1
Pre-Trump Baseline,2024-04,Indian Health Service,Dentist (Series: 0680),Yes,1
Pre-Trump Baseline,2024-04,Indian Health Service,Dentist (Series: 0680),No,1
Pre-Trump Baseline,2024-04,Transportation Security Administration,Transportation Security Officer (Series: 1802),No,3
Pre-Trump Baseline,2024-04,Army National Guard Units,TITLE 32 AERIAL DELIVERY SPECIALIST WG-5210-10 (Series: 5210),Yes,1
Pre-Trump Baseline,2024-04,Veterans Health Administration,Physician (Gastroenterologist) (Series: 0602),Yes,2
Pre-Trump Baseline,2024-04,Department of War Education Activity,Substitute (Series: 1701),Yes,5
Pre-Trump Baseline,2024-04,Department of War Education Activity,2000 Substitute (Series: 1701),Yes,1
Pre-Trump Baseline,2024-04,Department of War Education Activity,SUBSTITUTE (Series: 1701),Yes,5
Pre-Trump Baseline,2024-04,Department of War Education Activity,Teacher (Substitute) (Series: 1710),Yes,14
Pre-Trump Baseline,2024-04,Department of War Education Activity,Training Instructor (Substitute) (Series: 1712),Yes,12
Pre-Trump Baseline,2024-04,Department of War Education Activity,Training Instructor (Substitute) (Series: 1710),Yes,1
Pre-Trump Baseline,2024-04,Transportation Security Administration,Transportation Security Officer (Series: 1802),Yes,16
Pre-Trump Baseline,2024-04,Federal Aviation Administration,Aviation Safety Inspector (General Aviation - Operations) (Series: 1825),No,1
Pre-Trump Baseline,2024-04,"Commander, Navy Installations Command",CYP Assistant-Main Base (Series: 1702),Yes,1
Pre-Trump Baseline,2024-04,Indian Health Service,Contract Specialist (Series: 1102),No,1
Pre-Trump Baseline,2024-04,Air Combat Command,RECREATION AID (Series: 0189),Yes,1
Pre-Trump Baseline,2024-04,Air Combat Command,RECREATION AID (LIFEGUARD) (Series: 0189),Yes,1
Pre-Trump Baseline,2024-04,Air Force Global Strike Command,Custodial Worker (Housekeeper) (Series: 3566),Yes,1
Pre-Trump Baseline,2024-04,Naval Facilities Engineering Systems Command,ELECTRICAL ENGINEER (Series: 0850),Yes,2
Pre-Trump Baseline,2024-04,Indian Health Service,Nurse (RM/UR) (Series: 0610),Yes,1
Pre-Trump Baseline,2024-04,Indian Health Service,IT Specialist(INFOSEC/Network) (Series: 2210),No,1
Pre-Trump Baseline,2024-04,Indian Health Service,IT Specialist(INFOSEC/Network) (Series: 2210),Yes,1
Pre-Trump Baseline,2024-04,Indian Health Service,Supervisory Dietitian (Series: 0630),No,1
Pre-Trump Baseline,2024-04,Indian Health Service,Nurse(Community Health) (Series: 0610),No,1
Pre-Trump Baseline,2024-04,Indian Health Service,Nurse(Community Health) (Series: 0610),Yes,1
Pre-Trump Baseline,2024-04,Veterans Health Administration,Chief Nurse Primary Care - Nurse IV (Series: 0610),No,1
Pre-Trump Baseline,2024-04,Indian Health Service,Chief Optometrist (Series: 0662),Yes,1
Pre-Trump Baseline,2024-04,Indian Health Service,Chief Optometrist (Series: 0662),No,1
Pre-Trump Baseline,2024-04,Army Installation Management Command,Cook NA-04 (Series: 7404),Yes,1
Pre-Trump Baseline,2024-04,House of Representatives,Green & Gold Congressional Aide Program (Series: 0301),No,8
Pre-Trump Baseline,2024-04,Indian Health Service,Nurse (Supervisor Community Nurse) (Series: 0610),Yes,1
Pre-Trump Baseline,2024-04,"Commander, Navy Installations Command",CYP Child and Youth Program Assistant - ALL METRO (Series: 1702),Yes,1
Pre-Trump Baseline,2024-04,Naval Facilities Engineering Systems Command,ENVIRONMENTAL PROTECTION SPECIALIST (Series: 0028),Yes,1
Pre-Trump Baseline,2024-04,Air Mobility Command,CY Food Service Worker (Series: 7408),Yes,1
Pre-Trump Baseline,2024-04,Naval Facilities Engineering Systems Command,HAZARDOUS WASTE DISPOSER (Series: 6913),Yes,1
Pre-Trump Baseline,2024-04,Air Education and Training Command,BARTENDER (Series: 7405),Yes,1
Pre-Trump Baseline,2024-04,Bureau of Indian Education,Sports Specialist (Sport Information Coordinator) (Series: 0030),No,1
Pre-Trump Baseline,2024-04,National Geospatial-Intelligence Agency,Program and Business Administration Officer (Series: 0301),Yes,1
Pre-Trump Baseline,2024-04,Army National Guard Units,TOOL AND PARTS ATTENDANT (Series: 6904),No,1
Pre-Trump Baseline,2024-04,"Commander, Navy Installations Command",HOUSING MANAGEMENT ASSISTANT (Series: 1173),Yes,1
Pre-Trump Baseline,2024-04,Army National Guard Units,HR ASST (MIL) (Series: 0203),No,1
Pre-Trump Baseline,2024-04,Veterans Health Administration,Pharmacy Technician (Series: 0661),Yes,1
Pre-Trump Baseline,2024-04,Indian Health Service,Supervisory General Engineer - DHA (Series: 0801),Yes,1
Pre-Trump Baseline,2024-04,Health Resources and Services Administration,"IT Specialist - Info Sec, Info Systems Security Officer PD 20R133 - Office of Information Technology (Series: 2210)",Yes,1
Pre-Trump Baseline,2024-04,Customs and Border Protection,Supervisory Border Patrol Agent (Watch Commander) (Series: 1896),No,3
Pre-Trump Baseline,2024-04,Indian Health Service,Health Science Administrator (Chief Professional Officer) (Series: 0601),No,1
Pre-Trump Baseline,2024-04,"U.S. Army, Pacific",Financial Management Specialist (Series: 0501),No,1
Pre-Trump Baseline,2024-04,U.S. Army Forces Command,Public Affairs Specialist (Web Content Manager) (Series: 1035),No,1
Pre-Trump Baseline,2024-04,National Science Foundation,Interdisciplinary (Program Director) (Series: 1501),No,1
Pre-Trump Baseline,2024-04,Army Installation Management Command,Air Conditioning Equipment Mechanic (Series: 5306),Yes,1
Pre-Trump Baseline,2024-04,National Geospatial-Intelligence Agency,Maritime Analyst (Series: 1361),Yes,1
Pre-Trump Baseline,2024-04,Lyndon B. Johnson Space Center,"Supervisory Aerospace Engineer, AST, Environmental Control Systems (Series: 0861)",No,1
Pre-Trump Baseline,2024-04,Customs and Border Protection,SUPERVISORY LAW ENFORCEMENT INFORMATION SYSTEMS SPECIALIST (Series: 1801),No,1
Pre-Trump Baseline,2024-04,Air Force Global Strike Command,Recreation Aid (Series: 0189),Yes,1
Pre-Trump Baseline,2024-04,Air Force Global Strike Command,Food Service Worker Leader (Barista) (Series: 7408),Yes,1
Pre-Trump Baseline,2024-04,Army National Guard Units,MOBILE EQUIPMENT METAL WORKER (Series: 3809),No,1
Pre-Trump Baseline,2024-04,Naval Facilities Engineering Systems Command,UTILITY RATE SPECIALIST (Series: 1130),Yes,1
Pre-Trump Baseline,2024-04,Army National Guard Units,MATERIALS HANDLER (Series: 6907),No,2
Pre-Trump Baseline,2024-04,National Institutes of Health,Supervisory Communications Specialist (Series: 1001),No,1
Pre-Trump Baseline,2024-04,STRATEGIC SYSTEMS PROGRAMS (SSP),SECURITY SPECIALIST (Series: 0080),Yes,1
Pre-Trump Baseline,2024-04,Federal Aviation Administration,DIRECT HIRE - Aviation Safety Inspector (Series: 1825),Yes,1
Pre-Trump Baseline,2024-04,U.S. Army Contracting Command,Supervisory Budget Analyst (Series: 0560),No,1
Pre-Trump Baseline,2024-04,Naval Facilities Engineering Systems Command,INTERDISCILINARY GENERAL ENGINEER/ARCHITECT (Series: 0808),Yes,1
Pre-Trump Baseline,2024-04,National Institutes of Health,Supervisory Grants Management Specialist (Series: 1109),No,1
Pre-Trump Baseline,2024-04,National Institutes of Health,Chief Medical Technologist (Hematology) (Series: 0644),Yes,1
Pre-Trump Baseline,2024-04,National Institutes of Health,Chief Medical Technologist (Hematology) (Series: 0644),No,1
Pre-Trump Baseline,2024-04,Citizenship and Immigration Services,Supervisory Immigration Services Officer (Series: 1801),No,1
Pre-Trump Baseline,2024-04,National Institutes of Health,Administrative Officer (Series: 0341),No,2
Pre-Trump Baseline,2024-04,Defense Health Agency,Supervisory Human Resources Specialist (Series: 0201),No,1
Pre-Trump Baseline,2024-04,"Interior, Bureau of Indian Affairs",Law Enforcement Officer (Series: 1801),No,2
Pre-Trump Baseline,2024-04,Customs and Border Protection,SEIZED PROPERTY SPECIALIST (Series: 1801),No,2
Pre-Trump Baseline,2024-04,"Headquarters, NASA",Program Specialist (Direct Hire) (Series: 0301),Yes,1
Pre-Trump Baseline,2024-04,Federal Election Commission,IT Specialist (Data Management) (Series: 2210),Yes,1
Pre-Trump Baseline,2024-04,Defense Finance and Accounting Service,ACCOUNTANT (Series: 0510),No,1
Pre-Trump Baseline,2024-04,"Commander, Navy Installations Command",CYP Child and Youth Program Assistant - Entry (Series: 1702),Yes,1
Pre-Trump Baseline,2024-04,U.S. Marine Corps,"CHILD & YOUTH PROGRAM ASSISTANT (CDC), CY-01/02/RFT, ALL CAMPS (Series: 1702)",Yes,2
Pre-Trump Baseline,2024-04,U.S. Marine Corps,"CHILD & YOUTH PROGRAM ASSISTANT (CDC), CY-01/02/RPT, ALL CAMPS (Series: 1702)",Yes,2
Pre-Trump Baseline,2024-04,U.S. Marine Corps,"CHILD & YOUTH PROGRAM ASSISTANT (SAC), CY-01/02/RPT, ALL CAMPS (Series: 1702)",Yes,2
Pre-Trump Baseline,2024-04,Army National Guard Units,EQUAL EMPLOYMENT SPECIALIST (Series: 0260),No,1
